time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
996.1007184511989,SENSOR_DATA,"[27,2]",76,"[12,3]","[0,254]",,TREE
996.100736109397,SENSOR_DATA,"[28,4]",74,"[12,5]","[0,254]",,TREE
996.1007746962684,SENSOR_DATA,"[28,3]",55,"[4,1]","[0,254]",,TREE
996.100778847709,SENSOR_DATA,"[28,5]",74,"[12,5]","[0,254]",,TREE
996.1007844921036,SENSOR_DATA,"[27,2]",65,"[12,254]","[0,254]",,TREE
996.1008068087965,SENSOR_DATA,"[28,4]",64,"[12,254]","[0,254]",,TREE
996.1008365452492,SENSOR_DATA,"[27,2]",55,"[4,1]","[0,254]",,TREE
996.1008495471085,SENSOR_DATA,"[28,5]",64,"[12,254]","[0,254]",,TREE
996.1008613010085,SENSOR_DATA,"[28,3]",46,"[4,254]","[0,254]",,TREE
996.1008822216932,SENSOR_DATA,"[28,4]",55,"[4,1]","[0,254]",,TREE
996.1009231499893,SENSOR_DATA,"[27,2]",46,"[4,254]","[0,254]",,TREE
996.1009249600052,SENSOR_DATA,"[28,5]",55,"[4,1]","[0,254]",,TREE
996.1009325035604,SENSOR_DATA,"[28,3]",36,"[0,1]","[0,254]",,TREE
996.1009688264332,SENSOR_DATA,"[28,4]",46,"[4,254]","[0,254]",,TREE
996.1009943525412,SENSOR_DATA,"[27,2]",36,"[0,1]","[0,254]",,TREE
996.1010030856177,SENSOR_DATA,"[28,3]",27,"[0,254]","[0,254]",,DIRECT
996.1010115647452,SENSOR_DATA,"[28,5]",46,"[4,254]","[0,254]",,TREE
996.1010400289852,SENSOR_DATA,"[28,4]",36,"[0,1]","[0,254]",,TREE
996.1010649345984,SENSOR_DATA,"[27,2]",27,"[0,254]","[0,254]",,DIRECT
996.1010827672972,SENSOR_DATA,"[28,5]",36,"[0,1]","[0,254]",,TREE
996.1011106110424,SENSOR_DATA,"[28,4]",27,"[0,254]","[0,254]",,DIRECT
996.1011533493544,SENSOR_DATA,"[28,5]",27,"[0,254]","[0,254]",,DIRECT
996.1012886691841,SENSOR_DATA,"[31,1]",2,"[19,1]","[0,254]",,TREE
996.1013699798917,SENSOR_DATA,"[31,1]",3,"[19,254]","[0,254]",,TREE
996.1014249960471,SENSOR_DATA,"[31,1]",13,"[2,5]","[0,254]",,TREE
996.101475756227,SENSOR_DATA,"[32,1]",79,"[20,3]","[0,254]",,TREE
996.1015006269873,SENSOR_DATA,"[31,1]",14,"[2,254]","[0,254]",,TREE
996.1015470791077,SENSOR_DATA,"[32,1]",68,"[20,254]","[0,254]",,TREE
996.1015841071942,SENSOR_DATA,"[33,1]",62,"[23,4]","[0,254]",,TREE
996.101588732166,SENSOR_DATA,"[31,1]",25,"[0,2]","[0,254]",,TREE
996.1016285681262,SENSOR_DATA,"[34,1]",97,"[22,6]","[0,254]",,TREE
996.1016298573137,SENSOR_DATA,"[32,1]",59,"[8,1]","[0,254]",,TREE
996.1016525935967,SENSOR_DATA,"[31,1]",16,"[0,254]","[0,254]",,DIRECT
996.1016723033507,SENSOR_DATA,"[33,1]",52,"[23,254]","[0,254]",,TREE
996.101676106133,SENSOR_DATA,"[34,1]",87,"[22,254]","[0,254]",,TREE
996.1016778527189,SENSOR_DATA,"[32,1]",49,"[8,254]","[0,254]",,TREE
996.101704535792,SENSOR_DATA,"[36,1]",89,"[22,4]","[0,254]",,TREE
996.101708677618,SENSOR_DATA,"[37,1]",96,"[22,5]","[0,254]",,TREE
996.1017160930222,SENSOR_DATA,"[35,1]",0,"[21,5]","[0,254]",,TREE
996.1017337063299,SENSOR_DATA,"[33,1]",53,"[11,4]","[0,254]",,TREE
996.1017365262535,SENSOR_DATA,"[33,3]",61,"[33,254]","[0,254]",,TREE
996.101747091251,SENSOR_DATA,"[34,1]",77,"[7,2]","[0,254]",,TREE
996.1017563379212,SENSOR_DATA,"[39,2]",60,"[25,3]","[0,254]",,TREE
996.1017668517183,SENSOR_DATA,"[32,1]",39,"[1,6]","[0,254]",,TREE
996.1017703009513,SENSOR_DATA,"[40,1]",98,"[22,7]","[0,254]",,TREE
996.1017712251655,SENSOR_DATA,"[35,1]",10,"[21,254]","[0,254]",,TREE
996.1017748905264,SENSOR_DATA,"[38,1]",30,"[21,4]","[0,254]",,TREE
996.1017903060342,SENSOR_DATA,"[37,1]",86,"[22,254]","[0,254]",,TREE
996.1017937134253,SENSOR_DATA,"[36,1]",78,"[22,254]","[0,254]",,TREE
996.101818679133,SENSOR_DATA,"[33,3]",62,"[23,4]","[0,254]",,TREE
996.1018240967363,SENSOR_DATA,"[33,1]",43,"[11,254]","[0,254]",,TREE
996.1018344250681,SENSOR_DATA,"[34,1]",67,"[7,254]","[0,254]",,TREE
996.1018391995729,SENSOR_DATA,"[39,2]",51,"[25,254]","[0,254]",,TREE
996.1018530597439,SENSOR_DATA,"[33,1]",33,"[2,7]","[0,254]",,TREE
996.1018544907716,SENSOR_DATA,"[32,1]",48,"[1,254]","[0,254]",,TREE
996.101857536003,SENSOR_DATA,"[35,1]",11,"[6,5]","[0,254]",,TREE
996.1018581743467,SENSOR_DATA,"[40,1]",88,"[22,254]","[0,254]",,TREE
996.1018622896512,SENSOR_DATA,"[38,1]",20,"[21,254]","[0,254]",,TREE
996.1018625101626,SENSOR_DATA,"[36,1]",77,"[7,2]","[0,254]",,TREE
996.1018760148556,SENSOR_DATA,"[37,1]",77,"[7,2]","[0,254]",,TREE
996.1019068752895,SENSOR_DATA,"[33,3]",52,"[23,254]","[0,254]",,TREE
996.1019097911781,SENSOR_DATA,"[39,2]",41,"[11,5]","[0,254]",,TREE
996.1019116023682,SENSOR_DATA,"[32,1]",38,"[0,1]","[0,254]",,TREE
996.1019187652989,SENSOR_DATA,"[34,1]",57,"[1,5]","[0,254]",,TREE
996.1019235371072,SENSOR_DATA,"[35,1]",12,"[6,254]","[0,254]",,TREE
996.1019360683512,SENSOR_DATA,"[40,1]",77,"[7,2]","[0,254]",,TREE
996.101939433143,SENSOR_DATA,"[38,1]",11,"[6,5]","[0,254]",,TREE
996.1019428199941,SENSOR_DATA,"[33,1]",34,"[2,254]","[0,254]",,TREE
996.1019498439797,SENSOR_DATA,"[36,1]",67,"[7,254]","[0,254]",,TREE
996.1019633486727,SENSOR_DATA,"[37,1]",67,"[7,254]","[0,254]",,TREE
996.1019682782687,SENSOR_DATA,"[33,3]",53,"[11,4]","[0,254]",,TREE
996.1019701053492,SENSOR_DATA,"[39,2]",42,"[11,254]","[0,254]",,TREE
996.1019800534007,SENSOR_DATA,"[34,1]",47,"[1,254]","[0,254]",,TREE
996.1019880796764,SENSOR_DATA,"[32,1]",27,"[0,254]","[0,254]",,DIRECT
996.1020002253069,SENSOR_DATA,"[35,1]",23,"[2,5]","[0,254]",,TREE
996.1020054342472,SENSOR_DATA,"[38,1]",12,"[6,254]","[0,254]",,TREE
996.1020234021682,SENSOR_DATA,"[40,1]",67,"[7,254]","[0,254]",,TREE
996.102023453325,SENSOR_DATA,"[33,1]",25,"[0,2]","[0,254]",,TREE
996.1020341842105,SENSOR_DATA,"[36,1]",57,"[1,5]","[0,254]",,TREE
996.1020433027389,SENSOR_DATA,"[34,1]",38,"[0,1]","[0,254]",,TREE
996.1020476889036,SENSOR_DATA,"[37,1]",57,"[1,5]","[0,254]",,TREE
996.1020532591745,SENSOR_DATA,"[39,2]",33,"[2,7]","[0,254]",,TREE
996.1020586686751,SENSOR_DATA,"[33,3]",43,"[11,254]","[0,254]",,TREE
996.102082122447,SENSOR_DATA,"[38,1]",23,"[2,5]","[0,254]",,TREE
996.1020873147557,SENSOR_DATA,"[33,1]",16,"[0,254]","[0,254]",,DIRECT
996.1020876316827,SENSOR_DATA,"[33,3]",33,"[2,7]","[0,254]",,TREE
996.1020876644014,SENSOR_DATA,"[35,1]",14,"[2,254]","[0,254]",,TREE
996.1020954723123,SENSOR_DATA,"[36,1]",47,"[1,254]","[0,254]",,TREE
996.1021077423991,SENSOR_DATA,"[40,1]",57,"[1,5]","[0,254]",,TREE
996.1021089770053,SENSOR_DATA,"[37,1]",47,"[1,254]","[0,254]",,TREE
996.1021197800471,SENSOR_DATA,"[34,1]",27,"[0,254]","[0,254]",,DIRECT
996.1021430194246,SENSOR_DATA,"[39,2]",34,"[2,254]","[0,254]",,TREE
996.1021587216505,SENSOR_DATA,"[36,1]",38,"[0,1]","[0,254]",,TREE
996.1021690305008,SENSOR_DATA,"[40,1]",47,"[1,254]","[0,254]",,TREE
996.1021695615415,SENSOR_DATA,"[38,1]",14,"[2,254]","[0,254]",,TREE
996.1021722263436,SENSOR_DATA,"[37,1]",38,"[0,1]","[0,254]",,TREE
996.1021757695801,SENSOR_DATA,"[35,1]",25,"[0,2]","[0,254]",,TREE
996.1021773919329,SENSOR_DATA,"[33,3]",34,"[2,254]","[0,254]",,TREE
996.1022236527556,SENSOR_DATA,"[39,2]",25,"[0,2]","[0,254]",,TREE
